Date,Description,Debit,Credit
2026-04-01,LUMEN AI PAYROLL - SALARY,,6500.00
2026-04-02,RENT - MISSION ST APARTMENTS,2400.00,
2026-04-03,EQUINOX GYM MEMBERSHIP,185.00,
2026-04-04,WHOLE FOODS MARKET #1234,112.40,
2026-04-05,NETFLIX.COM,15.49,
2026-04-06,BLUE BOTTLE COFFEE,6.75,
2026-04-07,SPOTIFY USA,11.99,
2026-04-08,UBER TRIP HELP.UBER.COM,18.20,
2026-04-09,DOORDASH*THAI PALACE,32.50,
2026-04-10,OPENAI *CHATGPT SUBSCR,20.00,
2026-04-11,WHOLE FOODS MARKET #1234,96.10,
2026-04-12,NOTION LABS INC,10.00,
2026-04-13,DR ELLIS THERAPY COPAY,40.00,
2026-04-15,ICLOUD STORAGE,2.99,
2026-04-16,AMAZON.COM*MECH KEYBOARD,149.99,
2026-04-18,PG&E UTILITIES,88.30,
2026-04-19,BLUE BOTTLE COFFEE,7.25,
2026-04-20,VERIZON WIRELESS,70.00,
2026-04-22,DOORDASH*SUSHI GARDEN,41.80,
2026-04-24,WHOLE FOODS MARKET #1234,104.75,
2026-04-26,UBER TRIP HELP.UBER.COM,24.60,
2026-04-27,DR ELLIS THERAPY COPAY,40.00,
2026-04-29,ZELLE TO DEV PATEL,55.00,
2026-05-01,LUMEN AI PAYROLL - SALARY,,6500.00
2026-05-02,RENT - MISSION ST APARTMENTS,2400.00,
2026-05-03,EQUINOX GYM MEMBERSHIP,185.00,
2026-05-04,WHOLE FOODS MARKET #1234,89.00,
2026-05-05,NETFLIX.COM,15.49,
2026-05-07,SPOTIFY USA,11.99,
2026-05-08,BLUE BOTTLE COFFEE,6.75,
2026-05-10,OPENAI *CHATGPT SUBSCR,20.00,
2026-05-11,DOORDASH*BURGER JOINT,28.90,
2026-05-12,NOTION LABS INC,10.00,
2026-05-13,DR ELLIS THERAPY COPAY,40.00,
2026-05-14,UNITED AIRLINES 0162341,382.60,
2026-05-15,ICLOUD STORAGE,2.99,
2026-05-16,WHOLE FOODS MARKET #1234,118.20,
2026-05-18,PG&E UTILITIES,92.75,
2026-05-19,UBER TRIP HELP.UBER.COM,31.40,
2026-05-20,VERIZON WIRELESS,70.00,
2026-05-21,DOORDASH*THAI PALACE,35.60,
2026-05-23,CVS PHARMACY #5521,23.15,
2026-05-25,WHOLE FOODS MARKET #1234,101.30,
2026-05-27,DR ELLIS THERAPY COPAY,40.00,
2026-05-28,AMAZON.COM*DESK MAT,59.99,
2026-05-30,BLUE BOTTLE COFFEE,7.25,
2026-06-01,LUMEN AI PAYROLL - SALARY,,6500.00
2026-06-02,RENT - MISSION ST APARTMENTS,2400.00,
2026-06-03,EQUINOX GYM MEMBERSHIP,185.00,
2026-06-05,NETFLIX.COM,15.49,
2026-06-05,DOORDASH*RAMEN HOUSE,26.40,
2026-06-07,SPOTIFY USA,11.99,
2026-06-08,DOORDASH*PIZZA NAPOLI,31.20,
2026-06-09,UBER TRIP HELP.UBER.COM,16.80,
2026-06-10,OPENAI *CHATGPT SUBSCR,20.00,
2026-06-11,DOORDASH*THAI PALACE,33.90,
2026-06-12,NOTION LABS INC,10.00,
2026-06-13,WHOLE FOODS MARKET #1234,76.45,
2026-06-15,ICLOUD STORAGE,2.99,
2026-06-16,DOORDASH*SUSHI GARDEN,44.10,
2026-06-17,BLUE BOTTLE COFFEE,6.75,
2026-06-18,PG&E UTILITIES,95.40,
2026-06-19,DOORDASH*BURGER JOINT,29.75,
2026-06-20,VERIZON WIRELESS,70.00,
2026-06-21,UBER TRIP HELP.UBER.COM,22.30,
2026-06-24,WHOLE FOODS MARKET #1234,92.60,
2026-06-25,DR ELLIS THERAPY COPAY,40.00,
